Id;Datum;Zeit;IL1;UL1
1;15.09.2020;09:03:08.000;8.196;184.225
2;15.09.2020;09:03:09.000;8.276;184.215
3;15.09.2020;09:03:10.000;8.315;184.231
4;15.09.2020;09:03:11.000;8.246;184.195
5;15.09.2020;09:03:12.000;8.317;184.262
6;15.09.2020;09:03:13.000;8.302;184.272
7;15.09.2020;09:03:14.000;8.284;184.240
8;15.09.2020;09:03:15.000;8.281;184.225
9;15.09.2020;09:03:16.000;8.286;184.215
10;15.09.2020;09:03:17.000;8.296;184.255
11;15.09.2020;09:03:18.000;12.144;184.123
12;15.09.2020;09:03:19.000;15.412;183.951
13;15.09.2020;09:03:20.000;16.816;183.849
14;15.09.2020;09:03:21.000;17.750;183.753
15;15.09.2020;09:03:22.000;18.859;183.664
16;15.09.2020;09:03:23.000;18.010;185.120
17;15.09.2020;09:03:24.000;17.563;186.129
18;15.09.2020;09:03:25.000;17.706;186.234
19;15.09.2020;09:03:26.000;17.721;186.255
20;15.09.2020;09:03:27.000;17.728;186.283
21;15.09.2020;09:03:28.000;17.460;186.338
22;15.09.2020;09:03:29.000;17.836;186.351
23;15.09.2020;09:03:30.000;17.689;186.342
24;15.09.2020;09:03:31.000;17.649;186.290
25;15.09.2020;09:03:32.000;17.837;186.271
26;15.09.2020;09:03:33.000;17.634;186.335
27;15.09.2020;09:03:34.000;17.559;186.336
28;15.09.2020;09:03:35.000;17.499;186.570
29;15.09.2020;09:03:36.000;17.362;186.865
30;15.09.2020;09:03:37.000;17.235;186.881
31;15.09.2020;09:03:38.000;17.565;186.923
32;15.09.2020;09:03:39.000;17.283;186.977
33;15.09.2020;09:03:40.000;17.472;186.949
34;15.09.2020;09:03:41.000;17.462;186.921
35;15.09.2020;09:03:42.000;17.736;186.903
36;15.09.2020;09:03:43.000;17.657;187.087
37;15.09.2020;09:03:44.000;17.803;187.102
38;15.09.2020;09:03:45.000;17.712;187.094
39;15.09.2020;09:03:46.000;17.896;187.072
40;15.09.2020;09:03:47.000;17.542;187.055
41;15.09.2020;09:03:48.000;17.804;187.078
42;15.09.2020;09:03:49.000;17.606;187.156
43;15.09.2020;09:03:50.000;17.787;187.151
44;15.09.2020;09:03:51.000;17.519;187.126
45;15.09.2020;09:03:52.000;17.906;187.074
46;15.09.2020;09:03:53.000;17.495;187.117
47;15.09.2020;09:03:54.000;17.834;187.107
48;15.09.2020;09:03:55.000;17.550;187.105
49;15.09.2020;09:03:56.000;17.829;187.029
50;15.09.2020;09:03:57.000;17.595;187.046
51;15.09.2020;09:03:58.000;17.717;187.085
52;15.09.2020;09:03:59.000;17.516;186.988
53;15.09.2020;09:04:00.000;17.746;186.974
54;15.09.2020;09:04:01.000;17.657;186.933
55;15.09.2020;09:04:02.000;17.530;186.894
56;15.09.2020;09:04:03.000;17.821;186.933
57;15.09.2020;09:04:04.000;17.614;186.990
58;15.09.2020;09:04:05.000;17.463;186.985
59;15.09.2020;09:04:06.000;17.623;186.922
60;15.09.2020;09:04:07.000;17.893;186.935
61;15.09.2020;09:04:08.000;17.839;187.015
62;15.09.2020;09:04:09.000;17.571;186.983
63;15.09.2020;09:04:10.000;17.628;186.948
64;15.09.2020;09:04:11.000;17.508;186.941
65;15.09.2020;09:04:12.000;17.701;186.929
66;15.09.2020;09:04:13.000;17.881;186.954
67;15.09.2020;09:04:14.000;17.736;186.944
68;15.09.2020;09:04:15.000;17.860;186.953
69;15.09.2020;09:04:16.000;17.511;187.026
70;15.09.2020;09:04:17.000;17.848;187.011
71;15.09.2020;09:04:18.000;17.716;187.061
72;15.09.2020;09:04:19.000;17.552;187.078
73;15.09.2020;09:04:20.000;17.647;187.067
74;15.09.2020;09:04:21.000;17.754;187.076
75;15.09.2020;09:04:22.000;17.741;187.088
76;15.09.2020;09:04:23.000;17.624;187.053
77;15.09.2020;09:04:24.000;17.864;187.013
78;15.09.2020;09:04:25.000;17.585;187.029
79;15.09.2020;09:04:26.000;17.355;187.037
80;15.09.2020;09:04:27.000;17.498;187.028
81;15.09.2020;09:04:28.000;17.814;187.021
82;15.09.2020;09:04:29.000;17.694;187.017
83;15.09.2020;09:04:30.000;17.569;187.037
84;15.09.2020;09:04:31.000;17.450;187.033
85;15.09.2020;09:04:32.000;17.894;187.005
86;15.09.2020;09:04:33.000;17.535;187.070
87;15.09.2020;09:04:34.000;17.725;186.990
88;15.09.2020;09:04:35.000;17.732;186.929
89;15.09.2020;09:04:36.000;17.529;186.951
90;15.09.2020;09:04:37.000;17.624;186.952
91;15.09.2020;09:04:38.000;17.673;186.913
92;15.09.2020;09:04:39.000;17.555;186.926
93;15.09.2020;09:04:40.000;17.959;186.906
94;15.09.2020;09:04:41.000;17.902;186.901
95;15.09.2020;09:04:42.000;17.758;186.876
96;15.09.2020;09:04:43.000;17.496;186.923
97;15.09.2020;09:04:44.000;17.865;186.893
98;15.09.2020;09:04:45.000;17.787;186.874
99;15.09.2020;09:04:46.000;17.607;186.918
100;15.09.2020;09:04:47.000;17.739;186.928
101;15.09.2020;09:04:48.000;17.634;186.947
102;15.09.2020;09:04:49.000;17.781;186.926
103;15.09.2020;09:04:50.000;17.601;186.931
104;15.09.2020;09:04:51.000;17.821;186.908
105;15.09.2020;09:04:52.000;17.620;186.913
106;15.09.2020;09:04:53.000;17.539;186.907
107;15.09.2020;09:04:54.000;17.522;186.905
108;15.09.2020;09:04:55.000;17.969;186.867
109;15.09.2020;09:04:56.000;17.619;186.849
110;15.09.2020;09:04:57.000;17.756;186.815
111;15.09.2020;09:04:58.000;17.765;186.909
112;15.09.2020;09:04:59.000;17.795;186.891
113;15.09.2020;09:05:00.000;17.625;186.875
114;15.09.2020;09:05:01.000;17.763;186.815
115;15.09.2020;09:05:02.000;17.617;186.741
116;15.09.2020;09:05:03.000;17.621;186.759
117;15.09.2020;09:05:04.000;17.631;186.805
118;15.09.2020;09:05:05.000;17.557;186.798
119;15.09.2020;09:05:06.000;17.957;186.775
120;15.09.2020;09:05:07.000;17.532;186.776
121;15.09.2020;09:05:08.000;17.734;186.787
122;15.09.2020;09:05:09.000;17.881;186.823
123;15.09.2020;09:05:10.000;17.511;186.837
124;15.09.2020;09:05:11.000;17.679;186.812
125;15.09.2020;09:05:12.000;18.017;186.801
126;15.09.2020;09:05:13.000;17.734;186.833
127;15.09.2020;09:05:14.000;17.632;186.884
128;15.09.2020;09:05:15.000;17.577;186.981
129;15.09.2020;09:05:16.000;17.888;186.907
130;15.09.2020;09:05:17.000;17.892;186.902
131;15.09.2020;09:05:18.000;17.767;186.968
132;15.09.2020;09:05:19.000;17.424;186.989
133;15.09.2020;09:05:20.000;17.788;186.960
134;15.09.2020;09:05:21.000;17.639;186.974
135;15.09.2020;09:05:22.000;17.766;186.995
136;15.09.2020;09:05:23.000;17.377;187.026
137;15.09.2020;09:05:24.000;17.798;186.990
138;15.09.2020;09:05:25.000;17.848;186.971
139;15.09.2020;09:05:26.000;17.749;186.959
140;15.09.2020;09:05:27.000;17.807;186.902
141;15.09.2020;09:05:28.000;17.822;186.876
142;15.09.2020;09:05:29.000;17.845;186.833
143;15.09.2020;09:05:30.000;17.579;186.867
144;15.09.2020;09:05:31.000;17.550;186.905
145;15.09.2020;09:05:32.000;17.969;185.310
146;15.09.2020;09:05:33.000;17.664;183.853
147;15.09.2020;09:05:34.000;17.680;183.869
148;15.09.2020;09:05:35.000;17.839;183.934
149;15.09.2020;09:05:36.000;17.807;183.960
150;15.09.2020;09:05:37.000;17.279;183.952
151;15.09.2020;09:05:38.000;17.561;183.928
152;15.09.2020;09:05:39.000;17.617;183.906
153;15.09.2020;09:05:40.000;17.539;183.911
154;15.09.2020;09:05:41.000;17.596;183.842
155;15.09.2020;09:05:42.000;17.783;183.846
156;15.09.2020;09:05:43.000;17.647;183.892
157;15.09.2020;09:05:44.000;17.663;183.891
158;15.09.2020;09:05:45.000;17.737;183.880
159;15.09.2020;09:05:46.000;17.861;183.830
160;15.09.2020;09:05:47.000;17.104;183.818
161;15.09.2020;09:05:48.000;17.772;183.837
162;15.09.2020;09:05:49.000;17.542;183.859
163;15.09.2020;09:05:50.000;17.567;183.788
164;15.09.2020;09:05:51.000;17.609;183.652
165;15.09.2020;09:05:52.000;17.646;183.684
166;15.09.2020;09:05:53.000;17.463;183.779
167;15.09.2020;09:05:54.000;17.667;183.755
168;15.09.2020;09:05:55.000;17.845;183.813
169;15.09.2020;09:05:56.000;17.307;183.809
